Desde,Hacia,Región,Dist. aprox (km),Compartido SUV,Privado Confort,Privado Premium
Quito CN,Aeropuerto Tababela,Aeropuerto,10,10,25,35
Quito CN,Cayambe,Sierra,60,7,30,40
Quito CN,Guayllabamba,Sierra,30,6,20,30
Quito CN,Ibarra,Sierra,115,15,60,70
Quito CN,Atuntaqui,Sierra,115,15,60,70
Quito CN,Otavalo,Sierra,100,15,60,70
Quito CN,Peguche,Sierra,105,15,60,70
Quito CN,Cotacachi,Sierra,110,15,60,70
Quito CN,Tabacundo,Sierra,65,8,30,40
Quito CN,El Quinche,Sierra,55,7,30,40
Quito CN,Pifo,Sierra,45,6,20,30
Quito CN,Tulcán,Sierra,250,24,100,110
Quito CN,Latacunga,Sierra,90,12,50,60
Quito CN,Tambillo,Sierra,55,8,30,40
Quito CN,Aloasí,Sierra,78,10,40,50
Quito CN,Machachi,Sierra,65,9,40,50
Quito CN,Ambato,Sierra,130,15,60,70
Quito CN,Baños,Sierra,185,17,70,80
Quito CN,Riobamba,Sierra,200,20,80,90
Quito CN,Guaranda,Sierra,220,24,100,110
Quito CN,Santo Domingo,Costa,135,15,60,70
Quito CN,Esmeraldas,Costa,310,29,120,130
Quito CN,Alausi,Sierra,270,29,120,130
Quito CN,Puyo,Amazonía,325,34,140,150
Quito CN,Lago Agrio,Amazonía,370,39,160,170
Quito CN,Tena,Amazonía,280,29,120,130
Quito CN,Cuenca,Sierra,450,44,180,190
Quito CN,Manta,Costa,470,49,200,210
Quito CN,Portoviejo,Costa,475,49,200,210
Quito CN,Guayaquil,Costa,420,49,200,210
Quito CN,Salinas,Costa,540,59,240,250
Quito CN,Montañita,Costa,490,54,220,230
Quito CN,Macas,Amazonía,480,54,220,230
Quito CN,Machala,Costa,580,64,260,270
Quito CN,Zaruma,Costa,590,64,260,270
Quito CN,Loja,Sierra,650,69,280,290
Quito CN,Salcedo,Sierra,95,10,40,50
Quito CN,Pillaro,Sierra,100,11,40,50
Quito CN,Cevallos,Sierra,120,12,50,60
Quito CN,Tisaleo,Sierra,118,12,50,60
Quito CN,Mocha,Sierra,125,13,50,60
Quito CN,La Concordia,Costa,155,17,70,80
Quito CN,El Carmen,Costa,185,20,80,90
Aeropuerto,Latacunga,Aeropuerto,90,15,60,70
Aeropuerto,Ambato,Aeropuerto,130,18,70,80
Aeropuerto,Baños,Aeropuerto,190,18,70,80
Aeropuerto,Riobamba,Aeropuerto,200,23,90,100
Aeropuerto,Guayllabamba,Aeropuerto,25,5,20,30
Aeropuerto,Cayambe,Aeropuerto,55,9,40,50
Aeropuerto,Ibarra,Aeropuerto,110,14,60,70
Aeropuerto,Otavalo,Aeropuerto,100,14,60,70
Aeropuerto,Pifo,Aeropuerto,20,5,20,30
Aeropuerto,El Quinche,Aeropuerto,48,6,20,30
Aeropuerto,Cuenca,Aeropuerto,450,47,190,200
Aeropuerto,Guayaquil,Aeropuerto,420,52,210,220
Aeropuerto,Santo Domingo,Aeropuerto,135,17,70,80
Aeropuerto,El Carmen,Aeropuerto,185,22,90,100
Aeropuerto,Quito Sur,Aeropuerto,50,12,50,60
Aeropuerto,Cumbayá/Tumbaco,Aeropuerto,35,8,30,40
Aeropuerto,Los Chillos,Aeropuerto,55,15,60,70
Aeropuerto,Peguche,Aeropuerto,105,14,60,70
Quito Sur,Latacunga,Sierra,85,10,40,50
Quito Sur,Ambato,Sierra,125,13,50,60
Quito Sur,Machachi,Sierra,55,7,30,40
Quito Sur,Tambillo,Sierra,45,6,20,30
Quito Sur,Aloasí,Sierra,70,8,30,40
Quito Sur,Riobamba,Sierra,195,18,70,80
Quito Sur,Baños,Sierra,180,15,60,70
Quito Sur,Cuenca,Sierra,440,42,170,180
Quito Sur,Guayaquil,Costa,415,47,190,200
Quito Sur,El Carmen,Costa,180,18,70,80
Cumbayá/Tumbaco,Latacunga,Sierra,90,15,60,70
Cumbayá/Tumbaco,Ambato,Sierra,130,17,70,80
Cumbayá/Tumbaco,Baños,Sierra,185,14,60,70
Cumbayá/Tumbaco,Pifo,Sierra,20,5,20,30
Cumbayá/Tumbaco,Riobamba,Sierra,200,22,90,100
Cumbayá/Tumbaco,Guayaquil,Costa,420,53,210,220
Cumbayá/Tumbaco,Cuenca,Sierra,445,47,190,200
Cumbayá/Tumbaco,Tena,Amazonía,275,27,110,120
Cumbayá/Tumbaco,Atuntaqui,Sierra,115,19,80,90
Los Chillos,Latacunga,Sierra,88,14,60,70
Los Chillos,Ambato,Sierra,128,16,60,70
Los Chillos,Baños,Sierra,182,13,50,60
Los Chillos,Riobamba,Sierra,198,21,80,90
Los Chillos,Cuenca,Sierra,442,46,180,190
Los Chillos,Atuntaqui,Sierra,118,20,80,90
Guayaquil,Naranjal,Costa,50,10,40,50
Guayaquil,Salinas,Costa,95,14,60,70
Guayaquil,Montañita,Costa,165,17,70,80
Guayaquil,Machala,Costa,185,19,80,90
Alausi,Guayaquil,Sierra,210,24,100,110
Cuenca,Guayaquil,Sierra,210,24,100,110
Guayaquil,Riobamba,Costa,260,29,120,130
Guayaquil,Manta,Costa,260,29,120,130
Guayaquil,Portoviejo,Costa,265,29,120,130
Guayaquil,Santo Domingo,Costa,275,29,120,130
Guayaquil,Zaruma,Costa,280,29,120,130
Guayaquil,Ambato,Sierra,330,34,140,150
Guayaquil,Baños,Sierra,340,34,140,150
Guayaquil,Latacunga,Sierra,380,39,160,170
Guayaquil,Loja,Sierra,400,39,160,170
Esmeraldas,Guayaquil,Costa,480,54,220,230
Guayaquil,Ibarra,Costa,480,54,220,230
Azogues,Cuenca,Sierra,40,5,20,30
Alausi,Cuenca,Sierra,160,17,70,80
Cuenca,Machala,Sierra,190,19,80,90
Cuenca,Loja,Sierra,220,24,100,110
Cuenca,Riobamba,Sierra,215,24,100,110
Ambato,Cuenca,Sierra,280,29,120,130
Cuenca,Zaruma,Sierra,280,29,120,130
Cuenca,Latacunga,Sierra,330,34,140,150
Cuenca,Macas,Amazonía,320,34,140,150
Ibarra,Otavalo,Sierra,30,5,20,30
Ambato,Baños,Sierra,40,5,20,30
Latacunga,Ambato,Sierra,45,5,20,30
Cotacachi,Ibarra,Sierra,25,7,30,40
Ambato,Riobamba,Sierra,65,7,30,40
Latacunga,Riobamba,Sierra,100,11,40,50
Alausi,Riobamba,Sierra,95,11,40,50
Ibarra,Tulcán,Sierra,130,14,60,70
Ambato,Puyo,Amazonía,135,14,60,70
Cayambe,Ibarra,Sierra,110,14,60,70
Ambato,Tena,Amazonía,170,17,70,80
Ibarra,Latacunga,Sierra,160,19,80,90
Manta,Portoviejo,Costa,35,4,20,30
Montañita,Salinas,Costa,75,9,40,50
Esmeraldas,Manta,Costa,420,44,180,190
Manta,Salinas,Costa,475,49,200,210
Loja,Zaruma,Sierra,165,17,70,80
Machala,Zaruma,Costa,185,19,80,90
Loja,Machala,Sierra,275,29,120,130
Puyo,Tena,Amazonía,90,11,40,50
Lago Agrio,Tena,Amazonía,310,34,140,150
Macas,Puyo,Amazonía,315,34,140,150
Macas,Tena,Amazonía,420,44,180,190
Latacunga,Salcedo,Sierra,25,3,10,20
Ambato,Salcedo,Sierra,40,5,20,30
Ambato,Pillaro,Sierra,38,5,20,30
Ambato,Cevallos,Sierra,32,4,20,30
Ambato,Tisaleo,Sierra,30,4,20,30
Ambato,Mocha,Sierra,35,4,20,30
Baños,Mocha,Sierra,32,4,20,30
Baños,Cevallos,Sierra,38,5,20,30
Baños,Tisaleo,Sierra,36,5,20,30
Baños,Pillaro,Sierra,45,6,20,30
Latacunga,Pillaro,Sierra,65,8,30,40
Latacunga,Cevallos,Sierra,80,9,40,50
El Carmen,La Concordia,Costa,58,7,30,40
La Concordia,Santo Domingo,Costa,65,8,30,40
